date,time,lat,lon,dist,aot_869,angstrom,Rrs_412,Rrs_443,Rrs_469,Rrs_488,Rrs_531,Rrs_547,Rrs_555,Rrs_645,Rrs_667,Rrs_678,chlor_a,chl_ocx,Kd_490,pic,poc,ipar,nflh,par,l2_flags
2021-09-17,12:50:01.886Z,38.175537,2.1949298,0.0057007414,0.2402,0.7542001,0.007339999,0.007096,0.0067000017,0.0061520003,0.0029700026,0.0023560002,0.0019400008,2.000481e-06,0.00012400001,0.000116001815,0.17869297,0.18971646,0.0424,0.00012400001,61.0,0.0016057,0.008549929,46.211998,0
2021-09-18,13:35:01.318Z,38.183025,2.2054138,0.0074163284,0.0726,1.5087,0.007866003,0.007430002,0.006588001,0.006177999,0.0027840026,0.0021400005,0.0018980019,0.0001880005,0.00020200014,0.00019400194,0.14120665,0.15188435,0.037,6.599724e-05,52.0,0.0015026,0.022574902,45.851997,0
2021-09-19,12:40:00.718Z,38.174606,2.202418,0.0038889193,0.120699994,1.4547,0.012328003,0.011024002,0.0096700005,0.008234002,0.003667999,0.002753999,0.0023640022,0.00022000074,0.00026600063,0.00029199943,0.082520954,0.12110734,0.0354,0.0002919957,46.0,0.0016285001,0.08309507,45.544,1048832
2021-09-20,13:20:01.773Z,38.182182,2.1960008,0.006063615,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,26.267998,1073742352
2021-09-21,12:25:01.175Z,38.174053,2.1975684,0.0045455904,0.1339,0.8809,0.013348002,0.010384001,0.008726001,0.0075119995,0.0037019998,0.002844002,0.0024280027,0.0002599992,0.00029199943,0.00029000267,0.098614864,0.1404317,0.0418,0.00031399727,50.799805,0.0016501,0.046375036,44.744,1048576
2021-09-22,13:10:00.607Z,38.17281,2.1975558,0.005616446,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,40.519997,1073742352
2021-09-23,13:50:01.659Z,38.179176,2.2176373,0.017522259,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,37.32,1073742384
2021-09-24,12:55:01.056Z,38.179764,2.1994638,0.0021058398,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,40.047997,1073742352
2021-09-25,13:40:01.964Z,38.178905,2.2048175,0.004781101,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,18.659996,1073742352
2021-09-26,12:45:01.363Z,38.182957,2.204174,0.006543922,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,42.238,1074790912
2021-09-27,13:25:00.940Z,38.1896,2.2021005,0.0119782165,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,41.974,1073742336
2021-09-28,12:30:01.821Z,38.174995,2.2022004,0.0034458996,0.048299998,1.2273,0.010204002,0.008360002,0.0069820024,0.006098002,0.002572,0.0020460002,0.0016740002,0.0003219992,0.00020200014,0.00020200014,0.10989402,0.11692282,0.0354,5.3994358e-05,43.799805,0.001596,0.031244993,42.122,536870912
2021-09-29,13:15:01.252Z,38.17735,2.198506,0.001719545,0.068399996,2.0023,0.0105840005,0.008624002,0.007240001,0.0062500015,0.0028799996,0.0022800006,0.0018640012,0.00039600208,0.00045400113,0.00039800256,0.10911806,0.13265103,0.0398,0.00012400001,48.0,0.0014342,-0.008364916,41.684,0
2021-09-30,12:20:00.651Z,38.175747,2.2006686,0.0020932897,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,31.755997,1073742352
2021-10-01,13:00:01.706Z,38.176804,2.1998537,0.0010267544,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,40.972,1073742592
2021-10-02,13:45:01.139Z,38.18884,2.21327,0.017143106,0.0999,1.7318001,0.009787999,0.007534001,0.005784001,0.005222,0.0021560006,0.0013919994,0.0013240017,-0.0001599975,6.400049e-05,4.0002167e-05,0.10326125,0.07007691,0.025799999,--,32.199707,0.0012716,-0.026045084,40.552,1073742112
2021-10-03,12:50:00.541Z,38.17698,2.1967795,0.0034845981,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,37.482,1074790928
2021-10-04,13:35:01.452Z,38.184498,2.2079613,0.010286893,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,39.772,1073742592
2021-10-05,12:40:00.853Z,38.174294,2.2063217,0.007070427,0.048499998,0.46220016,0.008716002,0.007479999,0.0064579993,0.0054819994,0.0022759996,0.0017360002,0.0015220009,0.00022800267,0.00018399954,0.00015600026,0.116727546,0.10701047,0.0328,1.1995435e-05,40.600098,0.0015148,-0.009130001,39.336,537919488
2021-10-06,13:20:01.901Z,38.17196,2.1985965,0.006030344,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,39.115997,1073742336
2021-10-07,12:25:01.304Z,38.176647,2.2069876,0.006910372,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,37.246,1073742592
2021-10-08,13:10:00.733Z,38.176666,2.2028382,0.0028906611,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,32.865997,1073742352
2021-10-09,13:50:01.789Z,38.17568,2.1861768,0.014150951,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,37.998,1073742624
2021-10-10,12:55:01.192Z,38.176136,2.2051237,0.0052186656,0.046699997,1.4211,0.009778,0.007778,0.006930001,0.0059779994,0.002766002,0.0021400005,0.0017920025,0.00022800267,0.0002319999,0.00021599978,0.12977214,0.14131838,0.038799997,7.199496e-05,49.600098,0.0014035,0.013055086,37.556,0
2021-10-11,13:40:00.629Z,38.172565,2.1903713,0.011100577,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,33.233997,1073742352
2021-10-12,12:45:01.515Z,38.173565,2.2013032,0.00436472,0.067,0.82290006,0.008420002,0.007270001,0.0064200014,0.0056180023,0.002505999,0.0019420013,0.0015980005,0.0002700016,0.00022999942,0.00020800158,0.13301547,0.13498335,0.037,1.1995435e-05,47.600098,0.0014136,0.004554987,36.951996,0
2021-10-13,13:25:01.101Z,38.173073,2.2067404,0.008082015,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,33.772,1073742352
2021-10-14,12:30:00.507Z,38.17126,2.196594,0.0074360394,0.0705,0.9833001,0.009536002,0.007864002,0.0068159997,0.005945999,0.0025699995,0.001952,0.0015840009,0.00030000135,0.00020400062,0.00022800267,0.11766676,0.11979326,0.034399997,1.9997358e-05,44.199707,0.0014128,0.06890011,36.087997,536871168
2021-10-15,13:15:01.421Z,38.174015,2.206817,0.007638548,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,14.103996,1073742352
2021-10-16,12:20:00.825Z,38.186874,2.2065005,0.011080218,0.0605,1.3519,0.011334002,0.007990003,0.0067580007,0.005912002,0.0027520023,0.0021059997,0.0017520003,0.00029199943,0.00028000027,0.00021800026,0.12065838,0.13203381,0.038599998,6.400049e-05,47.399902,0.0014113,-0.044404984,35.309998,536870912
2021-10-17,13:00:01.884Z,38.18001,2.201263,0.0024845363,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,22.225998,1073742352
2021-10-18,13:45:01.322Z,38.18358,2.2096407,0.011104115,0.0964,1.4479,0.009784002,0.0062540025,0.0045800023,0.0044960007,0.0019639991,0.0012100004,0.000980001,-0.00036199763,3.2000244e-05,3.6001205e-05,0.12883805,0.07692082,0.0262,--,33.799805,0.0010999,0.009994984,34.502,1073742112
2021-10-19,12:50:00.728Z,38.174202,2.1959083,0.005565238,0.0668,0.4869001,0.006956,0.0058699995,0.0055420026,0.0048280023,0.0022880025,0.0017980002,0.0014440008,0.00019400194,0.00019600242,0.00017600134,0.16980618,0.16743326,0.040999997,1.1995435e-05,54.399902,0.0013262,0.0015799999,34.143997,1048576
2021-10-20,13:35:01.645Z,38.181038,2.1895077,0.011149582,0.0334,1.4751,0.0073660016,0.0058999993,0.0049340017,0.0046299994,0.0021659993,0.0016419999,0.0013980009,0.00015000254,0.00013200194,0.00013799965,0.15766436,0.14409147,0.038399998,1.1995435e-05,49.0,0.0011719,0.030735016,33.809998,0
2021-10-21,12:40:01.052Z,38.177223,2.1998866,0.00062526425,0.0951,1.0647,0.006508,0.0055139996,0.005070001,0.00457,0.0023379996,0.0017319992,0.0013880022,0.00011000037,0.00017200038,0.00013400242,0.17670447,0.17399538,0.0418,1.1995435e-05,55.399902,0.0013098,-0.028934956,33.461998,536871168
2021-10-22,13:20:00.638Z,38.179478,2.1973221,0.0033160683,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,8.583996,1073742352
2021-10-23,12:25:01.523Z,38.172264,2.2029285,0.006167027,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,31.373997,1074791168
2021-10-24,13:10:00.964Z,38.181805,2.205422,0.0066159978,0.0539,1.2297001,0.006558001,0.0047379993,0.004254002,0.0040879995,0.002270002,0.0017620027,0.0014539994,0.0001699999,0.00020800158,0.00022800267,0.22646208,0.22646208,0.049399998,1.1995435e-05,66.19971,0.0012112,0.062949896,32.274,0
2021-10-25,13:50:00.551Z,38.173206,2.2028813,0.0053166808,0.0738,0.8440001,0.0076659992,0.004998002,0.003568001,0.004140001,0.0020599999,0.0016060024,0.001286,0.00015800074,8.000061e-05,0.00011200085,0.1811329,0.18025093,0.043199997,1.1995435e-05,56.799805,0.0010282,0.058870077,32.003998,288
2021-10-26,12:55:01.437Z,38.180397,2.2007396,0.0026779997,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,12.241997,1074790928
2021-10-27,13:40:00.880Z,38.184372,2.1988447,0.0067238593,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,28.547997,1073742352
2021-10-28,12:45:01.767Z,38.17342,2.2028985,0.0051431446,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,29.585999,1073742592
2021-10-29,13:25:01.357Z,38.179817,2.2006698,0.0020972784,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,29.104,1073742592
2021-10-30,12:30:00.769Z,38.177486,2.1969783,0.0032059092,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,7.749996,1074790928
2021-10-31,13:15:01.689Z,38.173714,2.1933165,0.007969788,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,26.887997,1073742352
2021-11-01,12:20:01.100Z,38.17819,2.1926992,0.0074827024,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,20.131996,1073742352
2021-11-02,13:00:00.693Z,38.176025,2.1990385,0.0020883426,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,27.952,1073742592
