date,time,lat,lon,dist,aot_869,angstrom,Rrs_412,Rrs_443,Rrs_469,Rrs_488,Rrs_531,Rrs_547,Rrs_555,Rrs_645,Rrs_667,Rrs_678,chlor_a,chl_ocx,Kd_490,pic,poc,ipar,nflh,par,l2_flags
2021-09-17,12:50:01.886Z,37.69248,-0.78963333,0.0056646913,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,46.392,1073742656
2021-09-18,13:35:01.318Z,37.69252,-0.78243273,0.004547839,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,45.91,1073742656
2021-09-19,12:40:00.718Z,37.686543,-0.794381,0.009465987,0.1558,0.80920005,0.0019359998,0.0013939999,0.0013759993,0.0017840005,0.0026980005,0.003238,0.0034260005,0.0020320006,0.0014640018,0.0018960014,11.647703,11.647703,0.77059996,--,467.3999,0.001668,0.78595996,45.642,1620052288
2021-09-20,13:20:01.773Z,37.684826,-0.78439844,0.0041823275,0.0986,1.583,-0.00025399774,-0.00040400028,-0.00012400001,0.0005740002,0.0018960014,0.0025420003,0.0027740002,0.0013880022,0.0011919998,0.0017840005,--,--,--,--,--,0.0015421,0.983075,45.11,1075839300
2021-09-21,12:25:01.175Z,37.68589,-0.79401195,0.0093013495,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,43.603996,1610613568
2021-09-22,13:10:00.607Z,37.685333,-0.7810818,0.0054808105,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,29.191998,1074790992
2021-09-23,13:50:01.659Z,37.69108,-0.7993588,0.01430134,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,41.587997,1073742416
2021-09-24,12:55:01.056Z,37.692253,-0.78271633,0.004163462,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,43.236,1074791232
2021-09-25,13:40:01.964Z,37.689644,-0.7851372,0.0007219534,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,41.738,1073742416
2021-09-26,12:45:01.363Z,37.68697,-0.78120196,0.004469443,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,40.145996,1073742416
