date,time,lat,lon,dist,aot_868,angstrom,Rrs_411,Rrs_445,Rrs_489,Rrs_556,Rrs_667,chlor_a,chl_ocx,Kd_490,pic,poc,par,l2_flags
2018-01-22,12:48:01.742Z,37.75938,-0.8042133,0.0036246825,0.0392,0.8031,-6.200001e-05,0.0012560003,0.0023740008,0.0047859997,0.0010720007,13.402308,13.402308,0.86499995,--,809.6001,24.098,1610613056
2018-01-23,12:30:00.220Z,37.760788,-0.80393267,0.0032105045,0.0253,1.0791,0.00038200244,0.0016740002,0.002556,0.0047520027,0.0011160001,10.16678,10.16678,0.65999997,--,597.3999,24.433998,1610613056
2018-01-24,13:48:00.438Z,37.764614,-0.809363,0.0037587727,--,--,--,--,--,--,--,--,--,--,--,--,--,1342177633
2018-01-25,13:30:00.703Z,37.76268,-0.80671424,0.0010481515,--,--,--,--,--,--,--,--,--,--,--,--,19.259998,1073742400
2018-01-26,13:12:00.969Z,37.760834,-0.80981946,0.0029258637,--,--,--,--,--,--,--,--,--,--,--,--,18.23,1073742400
2018-01-27,12:54:01.238Z,37.76193,-0.8044094,0.0026204223,--,--,--,--,--,--,--,--,--,--,--,--,23.363998,1073742400
2018-01-28,12:36:01.505Z,37.75924,-0.8069918,0.002437729,--,--,--,--,--,--,--,--,--,--,--,--,24.781998,1073742400
2018-01-29,12:18:01.772Z,37.762527,-0.80968845,0.0028029694,--,--,--,--,--,--,--,--,--,--,--,--,25.334,1610613312
2018-01-30,11:54:01.147Z,37.764416,-0.8085267,0.0031271353,--,--,--,--,--,--,--,--,--,--,--,--,15.283997,1073742432
2018-01-31,13:18:00.478Z,37.759953,-0.81245375,0.0057029636,--,--,--,--,--,--,--,--,--,--,--,--,19.411999,1073742400
2018-02-01,13:00:00.740Z,37.761246,-0.811106,0.004111004,--,--,--,--,--,--,--,--,--,--,--,--,26.915997,1073742400
2018-02-03,12:24:01.387Z,37.76509,-0.8102,0.0046672723,--,--,--,--,--,--,--,--,--,--,--,--,27.489998,1610613312
2018-02-04,12:06:01.653Z,37.760223,-0.8075454,0.0015462469,--,--,--,--,--,--,--,--,--,--,--,--,--,1342177633
2018-02-05,13:24:00.088Z,37.764736,-0.80563134,0.003358839,--,--,--,--,--,--,--,--,--,--,--,--,5.8379974,1073742400
2018-02-06,13:06:00.352Z,37.76026,-0.8077108,0.0015758765,0.0598,1.3118,0.0001620017,0.002038002,0.0032700002,0.0065480024,0.001162,13.081757,13.081757,0.8444,--,679.0,28.307999,1073742144
2018-02-07,12:48:00.616Z,37.762,-0.8101205,0.003119735,0.049599998,1.0592,0.00037400052,0.0021819994,0.003320001,0.006662,0.0012400001,13.166728,13.166728,0.8498,--,644.1997,28.689999,1073744192
2018-02-08,12:30:00.879Z,37.760757,-0.80703896,0.00091958826,0.069,1.2775,0.0018600002,0.0027020015,0.0032760017,0.006012,0.000971999,9.726168,9.726168,0.6326,--,464.6001,29.154,1610613056
2018-02-09,12:12:01.141Z,37.76124,-0.8091608,0.0021875827,--,--,--,--,--,--,--,--,--,--,--,--,27.835999,1610613312
2018-02-10,11:48:00.511Z,37.76071,-0.80882734,0.0020509292,--,--,--,--,--,--,--,--,--,--,--,--,--,1342177633
2018-02-11,13:12:01.621Z,37.763935,-0.8032392,0.0044018934,0.0392,1.3961,-2.199784e-05,0.001910001,0.003176,0.006806001,0.0011720024,16.611708,16.611708,1.076,--,756.1997,30.043999,1073742144
2018-02-12,12:54:00.096Z,37.760525,-0.8105244,0.003691108,--,--,--,--,--,--,--,--,--,--,--,--,4.525997,1073742400
2018-02-13,12:36:00.356Z,37.76011,-0.80566794,0.002068802,--,--,--,--,--,--,--,--,--,--,--,--,30.913998,1073742400
2018-02-14,13:54:00.575Z,37.76316,-0.80754226,0.0015739107,--,--,--,--,--,--,--,--,--,--,--,--,--,1342177633
2018-02-15,11:54:01.775Z,37.763397,-0.8056231,0.0022146555,0.0635,0.32669997,0.000976,0.002815999,0.0037260018,0.0064680018,0.0010600016,8.094827,8.094827,0.5326,--,480.0,31.607998,1610613088
2018-02-16,13:18:01.103Z,37.76212,-0.8111227,0.004128813,0.0664,1.526,0.0001699999,0.0021979995,0.0037500001,0.0080079995,0.0013500005,16.396162,16.396162,1.0616,--,774.0,31.806,1073744192
2018-02-17,13:00:01.371Z,37.76502,-0.80765224,0.0034013889,0.047799997,1.3707,0.0010560006,0.0023780018,0.0038220026,0.007616002,0.0012740009,12.854347,12.854347,0.82979995,--,677.1997,32.107998,1073744192
2018-02-18,12:42:01.637Z,37.761105,-0.80807865,0.0012054293,--,--,--,--,--,--,--,--,--,--,--,--,19.487999,1073742400
2018-02-19,14:00:00.074Z,37.76528,-0.80395555,0.00472989,--,--,--,--,--,--,--,--,--,--,--,--,32.379997,1073742432
2018-02-20,13:42:00.339Z,37.756348,-0.80629724,0.0053776097,--,--,--,--,--,--,--,--,--,--,--,--,12.943996,1073742400
2018-02-21,13:24:00.604Z,37.76101,-0.80593556,0.0012714721,0.059299998,1.674,-0.0008639991,0.00049399957,0.0008680001,0.0028980002,2.7999282e-05,89.7112,89.7112,--,--,--,33.802,1073742148
2018-02-25,13:48:01.230Z,37.762478,-0.80892926,0.0020726505,--,--,--,--,--,--,--,--,--,--,--,--,34.906,1073742432
2018-02-26,11:48:00.645Z,37.767666,-0.80725026,0.005993589,--,--,--,--,--,--,--,--,--,--,--,--,35.545998,1610613344
2018-02-27,13:12:01.756Z,37.762783,-0.8044522,0.0027938543,--,--,--,--,--,--,--,--,--,--,--,--,14.953999,1073742400
2018-02-28,12:54:00.231Z,37.76055,-0.80255187,0.0046054223,--,--,--,--,--,--,--,--,--,--,--,--,24.967999,1074790976
