date,time,lat,lon,dist,chl_nn,chl_nn_err,chl_oc,chl_oc_err,Oa01_reflectance,Oa01_reflectance_err,Oa02_reflectance,Oa02_reflectance_err,Oa03_reflectance,Oa03_reflectance_err,Oa04_reflectance,Oa04_reflectance_err,Oa05_reflectance,Oa05_reflectance_err,Oa06_reflectance,Oa06_reflectance_err,Oa07_reflectance,Oa07_reflectance_err,Oa08_reflectance,Oa08_reflectance_err,Oa09_reflectance,Oa09_reflectance_err,Oa10_reflectance,Oa10_reflectance_err,Oa11_reflectance,Oa11_reflectance_err,Oa12_reflectance,Oa12_reflectance_err,Oa16_reflectance,Oa16_reflectance_err,Oa17_reflectance,Oa17_reflectance_err,Oa18_reflectance,Oa18_reflectance_err,Oa21_reflectance,Oa21_reflectance_err,tsm_nn,tsm_nn_err,kd490,kd490_err,iwv,iwv_er,wind_direcction,wind_velocity,pressure,ozone,humidity,pressure_ref,temperature,vapour
2020-01-30,10:21:20.659366,37.751643,-0.753853,0.0014386189372468472,0.7086613,-0.12598431,0.97637796,-0.094488144,0.012701809,0.00257577,0.015961185,0.00213629,0.014880821,0.0014221668,0.018616289,0.0007995814,0.02130802,0.00063478947,0.029639572,0.00036011636,0.015540019,0.00023193657,0.009863585,0.0001770109,0.008636743,0.0001770109,0.008783221,0.0001770109,0.00735496,0.00014038384,0.0035279393,0.000103756785,0.0032349676,-6.109476e-06,0.0022095442,-6.109476e-06,0.0010193139,-6.109476e-06,0.0029053688,0.0005798489,1.1181102,0.6299212,-0.4409449,-1.6220472,34.8,46.799995,180.56514418125153,2.1814264156518415,1023.7235,0.006778363,16.922615,nan,288.72345,13.599649
2020-01-31,09:55:09.588421,37.750623999999995,-0.754456,0.0016515940562378626,0.59842515,-0.20472443,0.91338587,-0.031496048,0.007061988,0.003784299,0.011749625,0.0031434,0.013653979,0.002099678,0.020960107,0.0011658072,0.02198553,0.0009277612,0.02947478,0.00054323673,0.013745531,0.00034180284,0.0082888305,0.0002502501,0.007812738,0.0002502501,0.0075746924,0.0002502501,0.006659135,0.00019532442,0.002539143,0.00015869737,0.0009460747,-6.109476e-06,0.0003235042,-6.109476e-06,0.00054323673,-6.109476e-06,0.005633712,0.00081789494,0.9291339,0.3779528,-0.5472441,-1.6692914,36.899998,50.1,-0.90027374,4.596081009924358,1023.21655,0.0067648226,71.35031,nan,289.5067,20.761103
2020-02-02,10:43:46.643019,37.751582,-0.7534109999999999,0.00110537372259368,0.07874012,-0.3622048,1.3070867,0.45669293,0.009662166,0.0007263422,0.010193184,0.00068971515,0.006585896,0.00063478947,0.0097720325,0.00054323673,0.011273533,0.0005066097,0.018762782,0.00041505694,0.0033448339,0.00034180284,-0.00044557452,0.00026856363,-0.0010132194,0.00026856363,-0.00046387315,0.00026856363,-0.0013977438,0.00021362305,0.00026856363,0.00015869737,0.00015869737,-6.109476e-06,-6.109476e-06,-6.109476e-06,0.000103756785,-6.109476e-06,0.0051210076,0.0014404804,0.6456692,0.047244072,-0.28740156,-1.3385828,8.7,14.099999,-1.2397258,3.079789328124933,1028.6733,0.0064415857,29.741226,nan,290.66614,16.081135
2020-02-03,10:17:35.616002,37.750006,-0.752377,0.0007795485787297549,0.45669293,-0.33070862,0.8503938,-0.11023617,0.009936824,0.003656119,0.011786252,0.003015235,0.013361007,0.0019714981,0.017645806,0.001055941,0.01934874,0.00081789494,0.025116742,0.0004516691,0.009936824,0.00028687716,0.005981624,0.00019532442,0.0053224266,0.00019532442,0.005670339,0.00019532442,0.003949091,0.00014038384,0.0020447373,0.000103756785,0.00046998262,-6.109476e-06,0.0001770109,-6.109476e-06,0.00015869737,-6.109476e-06,0.0021729171,0.00054323673,0.9291339,0.3622048,-0.53543305,-1.6102362,26.099998,34.8,181.09654688835144,0.48782628873594397,1028.7377,0.0063436814,16.008665,nan,291.388,11.20639
2020-02-06,10:40:01.951168,37.750586,-0.753043,0.00024880793114375995,0.51968503,-0.12598431,0.48818898,-1.5748031,0.095156714,0.00083620846,0.09486373,0.0007080287,0.094021425,0.0005249232,0.095468,0.00036011636,0.096273705,0.00030519068,0.09931333,0.0002502501,0.0775048,0.00021362305,0.070509955,0.0001770109,0.06931974,0.00019532442,0.06908171,0.00019532442,0.06481521,0.00015869737,0.061189607,0.00015869737,0.075655386,-6.109476e-06,0.054158136,-6.109476e-06,0.045277268,-6.109476e-06,0.064229265,0.0016052723,1.1338582,0.5669291,-0.77165353,-2.0,11.4,16.8,1.4618901,3.4107868931772685,1027.6909,0.007021104,6.8593454,nan,285.18945,11.841143
2020-02-11,10:10:07.591408,37.749648,-0.753751,0.0013838003275748114,0.51968503,-0.23622048,1.1023622,0.17322826,0.002301097,0.002502516,0.0073366463,0.002099678,0.008618429,0.0014221668,0.014844209,0.00081789494,0.017188028,0.000653103,0.02544634,0.00039674342,0.010522783,0.00026856363,0.0065675825,0.00019532442,0.0064027905,0.00019532442,0.0066042095,0.00019532442,0.0041505247,0.00015869737,0.0020813644,0.00012207031,0.0005249232,-6.109476e-06,0.00030519068,-6.109476e-06,0.00021362305,-6.109476e-06,0.003216654,0.0006714016,0.9291339,0.34645677,-0.3700788,-1.3976378,24.899998,32.699997,180.65650755167007,3.9329305794270515,1024.933,0.0056038974,28.022491,nan,291.21368,17.710264
2020-02-15,10:06:23.858316,37.751284999999996,-0.751602,0.0013565029696231354,0.40944886,-0.3779528,0.6456692,-0.47244096,0.01834163,0.0024292767,0.016766876,0.0020630509,0.016785175,0.0014221668,0.017682418,0.00083620846,0.018817708,0.00068971515,0.021454513,0.0004516691,0.008618429,0.00030519068,0.005670339,0.00021362305,0.0051576346,0.00021362305,0.0046815425,0.00023193657,0.0037293583,0.0001770109,0.0021546036,0.00014038384,0.0005066097,-6.109476e-06,0.00034180284,-6.109476e-06,8.545816e-05,-6.109476e-06,0.005633712,0.00083620846,0.8818898,0.2677164,-0.64173234,-1.9291339,29.099998,43.199997,178.99785959720612,0.9778420337349913,1026.8163,0.0063865753,31.02489,nan,286.17627,15.824382
2020-02-18,10:28:50.798105,37.75028,-0.752239,0.0006802484153613991,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,1.1327367,4.136925683797498,1030.6045,0.006839536,99.19977,nan,285.65472,26.425972
2020-02-23,09:58:56.242609,37.751324,-0.754246,0.0015878110487703768,0.47244096,-0.28346455,0.7559054,-0.28346455,0.010486156,0.0029602945,0.012079224,0.0024659038,0.0133793205,0.0016418993,0.014477983,0.0009277612,0.018396556,0.0007446557,0.022296831,0.0004516691,0.010614336,0.00028687716,0.007300034,0.00019532442,0.0074831396,0.00019532442,0.0069704354,0.00019532442,0.005542159,0.00015869737,0.0037476718,0.00012207031,0.0015137196,-6.109476e-06,0.00089113414,-6.109476e-06,0.00041505694,-6.109476e-06,0.004535049,0.0006714016,0.8188977,0.17322826,-0.45275593,-1.468504,18.3,20.4,0.6602375,1.2884663728343457,1034.4633,0.0064362306,11.932575,nan,285.55377,8.169615
2020-02-27,09:55:12.318818,37.749067,-0.750558,0.002752861032926841,0.25196838,-0.28346455,0.8661418,-0.4409449,0.0099734515,0.00089113414,0.018652916,0.00076296926,0.016418964,0.00056153536,0.018744469,0.0003784299,0.021820739,0.0003235042,0.028431043,0.0002502501,0.01332438,0.00019532442,0.0099734515,0.00015869737,0.010083318,0.00015869737,0.0097720325,0.0001770109,0.0076479465,0.00014038384,0.0050843805,0.00014038384,0.00061647594,-6.109476e-06,3.0517578e-05,-6.109476e-06,4.8831105e-05,-6.109476e-06,0.0023560226,0.00090944767,0.8031497,0.062992096,-0.47637796,-1.964567,16.8,21.3,181.19655287265778,2.504684362289465,1021.0926,0.006819924,45.35102,nan,290.02383,12.383442
