date,time,lat,lon,dist,chl_nn,chl_nn_err,chl_oc,chl_oc_err,Oa01_reflectance,Oa01_reflectance_err,Oa02_reflectance,Oa02_reflectance_err,Oa03_reflectance,Oa03_reflectance_err,Oa04_reflectance,Oa04_reflectance_err,Oa05_reflectance,Oa05_reflectance_err,Oa06_reflectance,Oa06_reflectance_err,Oa07_reflectance,Oa07_reflectance_err,Oa08_reflectance,Oa08_reflectance_err,Oa09_reflectance,Oa09_reflectance_err,Oa10_reflectance,Oa10_reflectance_err,Oa11_reflectance,Oa11_reflectance_err,Oa12_reflectance,Oa12_reflectance_err,Oa16_reflectance,Oa16_reflectance_err,Oa17_reflectance,Oa17_reflectance_err,Oa18_reflectance,Oa18_reflectance_err,Oa21_reflectance,Oa21_reflectance_err,tsm_nn,tsm_nn_err,kd490,kd490_err,iwv,iwv_er,wind_direcction,wind_velocity,pressure,ozone,humidity,pressure_ref,temperature,vapour
2020-01-06,10:43:49.838425,37.762276,-0.786501,0.00158707464273195,0.33070874,-0.33070862,1.023622,0.51968503,0.00446181,0.002337724,0.006823942,0.0020630509,0.006183058,0.0015320331,0.009900212,0.0009460747,0.011731312,0.00081789494,0.017206341,0.00023193657,0.0057985187,0.00019532442,0.0035462528,0.00015869737,0.0028870553,0.00015869737,0.0028870553,0.0001770109,0.0015686452,0.00014038384,0.00034180284,0.00012207031,0.0001770109,-6.109476e-06,3.0517578e-05,-6.109476e-06,0.00028687716,-6.109476e-06,0.0028138012,0.00090944767,0.6929133,0.11023617,-0.39370084,-1.0905511,33.6,46.199997,-0.17797904,1.0377022794487842,1029.7289,0.007291764,26.109344,nan,283.1371,11.62306
2020-01-07,10:17:38.910744,37.762423999999996,-0.785659,0.0008914802081979955,0.3779528,-0.39370084,0.72440934,0.062992096,0.020081177,0.0018066913,0.01848811,0.001495406,0.015778065,0.0009277612,0.013635665,0.0005066097,0.015320286,0.00039674342,0.018909276,0.00030519068,0.0070436746,0.00026856363,0.0035645664,0.0002502501,0.0033631474,0.0002502501,0.0028870553,0.0002502501,0.0019165576,0.00019532442,0.0005981624,0.00015869737,0.00056153536,-6.109476e-06,0.00036011636,-6.109476e-06,0.00019532442,-6.109476e-06,0.0054506063,0.001055941,0.89763784,0.2677164,-0.5472441,-1.7874016,26.099998,38.699997,180.0277765598148,0.15270555112495413,1031.4957,0.007295835,32.23964,nan,283.52466,12.430462
2020-01-08,09:51:27.938277,37.762906,-0.786612,0.00143651446271875,0.3622048,-0.40944886,0.5826771,-0.40944886,0.023816645,0.0036927462,0.028028205,0.0031434,0.019385353,0.0022095442,0.018634602,0.0013489127,0.020245984,0.0011108816,0.022040471,0.0007263422,0.0070070475,0.0005066097,0.0032715797,0.0003784299,0.0031617135,0.00036011636,0.0024292767,0.0003784299,0.0017700791,0.00028687716,0.0011658072,0.0002502501,-2.4408102e-05,-6.109476e-06,4.8831105e-05,-6.109476e-06,1.2204051e-05,-6.109476e-06,0.009350866,0.0013489127,0.8031497,0.14173222,-0.6653544,-1.7992126,27.3,39.3,0.9934977,0.8590911104479186,1029.532,0.0072405664,35.010674,nan,284.0639,14.398008
2020-01-10,10:40:05.145966,37.762471999999995,-0.7841279999999999,0.0012938608432165363,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0.07453805,2.9420695255750005,1024.3276,0.0077065276,84.66711,nan,285.34262,16.975311
2020-01-18,10:32:35.522969,37.762431,-0.785497,0.0008141649719824243,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,-1.2443154,2.5213306563160356,1030.5408,0.007472374,70.27862,nan,285.66965,20.642447
2020-01-19,10:06:24.503778,37.762476,-0.785631,0.00083247601863526,0.14173222,-0.34645665,0.7874017,-0.17322838,0.014258251,0.0014038533,0.017389446,0.0013306141,0.012024298,0.0011841208,0.014532909,0.00096438825,0.016876742,0.0008728355,0.021088287,0.0006714016,0.0042054504,0.00054323673,0.00028687716,0.00041505694,0.0010010153,0.00041505694,1.2204051e-05,0.00041505694,-0.0009765923,0.0003235042,0.0012390465,0.00023193657,0.0007995814,-6.109476e-06,-6.109476e-06,-6.109476e-06,0.0005066097,-6.109476e-06,0.006549269,0.0020264238,0.5669291,-0.12598431,-0.511811,-1.6102362,15.299999,20.099998,-0.45270416,6.2242414535505555,1015.02185,0.008835953,82.0957,nan,284.35706,14.609295
2020-01-22,10:28:50.638868,37.762668,-0.78408,0.0012395147605429445,0.7086613,-0.015748024,1.2283463,-0.07874012,0.009405807,0.000854522,0.011017188,0.0007080287,0.012262344,0.00046998262,0.02249825,0.00030519068,0.026764736,0.00026856363,0.04249397,0.00023193657,0.02445753,0.00023193657,0.014844209,0.00021362305,0.012555316,0.00023193657,0.012829989,0.00023193657,0.009570599,0.0001770109,0.0024842024,0.00015869737,0.0023560226,-6.109476e-06,0.0013672262,-6.109476e-06,0.0010193139,-6.109476e-06,0.0025208294,0.0013672262,1.3700788,0.77165365,-0.28740156,-1.7992126,29.699999,43.8,0.6663144,5.214400157023933,1017.44617,0.008853296,66.63056,nan,285.69086,16.286438
2020-01-23,10:02:39.616819,37.763343,-0.78567,0.0004903254445765453,0.25196838,-0.2519685,--,--,-0.05184485,0.0010193139,-0.0389172,0.00089113414,-0.019983515,0.00068971515,0.005505547,0.0005066097,0.014111757,0.00046998262,0.04203619,0.00054323673,0.016107664,0.00046998262,0.0052125603,0.00039674342,0.004791409,0.00039674342,0.0031434,0.00041505694,0.0018799454,0.0003235042,-0.00017090142,0.0002502501,0.00021362305,-6.109476e-06,1.2204051e-05,-6.109476e-06,0.00023193657,-6.109476e-06,0.006714076,0.0021546036,1.0393701,0.45669293,--,--,23.399998,34.499996,0.98683524,3.4129335925361617,1020.266,0.008008166,72.457664,nan,285.3185,16.325489
2020-01-26,10:25:05.698518,37.766591999999996,-0.7918799999999999,0.007492598483941279,0.7559054,0.0,1.480315,0.5826771,0.0023560226,0.0021179914,0.0028504282,0.0017700791,0.006457716,0.0012024343,0.014276564,0.00068971515,0.017993718,0.00056153536,0.0318186,0.00034180284,0.015851319,0.00023193657,0.008307144,0.0001770109,0.0070803016,0.0001770109,0.007867679,0.0001770109,0.005871758,0.00014038384,0.0013855398,0.00012207031,0.0017883927,-6.109476e-06,0.0007995814,-6.109476e-06,0.00081789494,-6.109476e-06,0.003418073,0.0006714016,1.0866141,0.6141732,-0.09842515,-1.0551181,33.3,41.399998,-1.4110738,5.04736757775011,1022.0043,0.007296942,73.48015,nan,286.685,14.659763
2020-01-27,09:58:54.629308,37.762949,-0.785611,0.00047334144293642957,0.77165365,0.0,1.4330709,0.74015737,-0.0014709979,0.0033448339,0.0010010153,0.0028138012,0.0046082884,0.0019165576,0.01407513,0.0011108816,0.016711935,0.00090944767,0.02859585,0.00054323673,0.014661089,0.00036011636,0.0070986003,0.00026856363,0.0063661635,0.00026856363,0.007318333,0.00026856363,0.0060914904,0.00021362305,0.0017151386,0.0001770109,0.002301097,-6.109476e-06,0.0012207478,-6.109476e-06,0.00089113414,-6.109476e-06,0.0064943433,0.0009460747,0.9291339,0.47244096,-0.19291341,-0.984252,21.599998,28.199999,181.29788601398468,2.886744518243764,1025.1633,0.0071968185,58.54658,nan,285.31613,11.812379
