date,time,lat,lon,dist,aot_862,angstrom,Rrs_410,Rrs_443,Rrs_486,Rrs_551,Rrs_671,chlor_a,chl_ocx,Kd_490,pic,poc,par,l2_flags
2016-02-08,13:24:00.208Z,37.750504,-0.7502789,0.0025304707,0.1528,0.5655,-0.0031419992,-0.00069399923,0.0016780011,0.0051259995,0.0011599995,62.883217,62.883217,4.8255997,--,--,27.017998,1073742144
2016-02-09,13:06:01.507Z,37.74762,-0.7538557,0.0032132259,--,--,--,--,--,--,--,--,--,--,--,--,26.675999,1073742336
2016-02-10,12:48:01.027Z,37.75295,-0.7534053,0.0023699761,--,--,--,--,--,--,--,--,--,--,--,--,18.683998,1074790976
2016-02-11,12:30:00.547Z,37.752087,-0.7541006,0.0019301886,0.15519999,0.17790008,0.0035120025,0.0040240027,0.004564002,0.0068299994,0.0013960004,5.0719285,5.0719285,0.3518,0.0036199987,349.3999,28.089996,536873280
2016-02-12,12:12:00.066Z,37.749554,-0.7489228,0.0040354407,--,--,--,--,--,--,--,--,--,--,--,--,4.7819977,1073742336
2016-02-13,11:54:01.363Z,37.749104,-0.75703764,0.0045086374,--,--,--,--,--,--,--,--,--,--,--,--,13.715996,1073742368
2016-02-14,13:12:00.375Z,37.75088,-0.7480082,0.004801842,--,--,--,--,--,--,--,--,--,--,--,--,29.105999,1073742400
2016-02-15,12:54:01.669Z,37.754215,-0.7525224,0.0035702945,--,--,--,--,--,--,--,--,--,--,--,--,22.961998,1074790976
2016-02-16,12:36:01.178Z,37.75325,-0.7529726,0.0025994189,0.0508,1.2056,0.0004200004,0.0016060024,0.0031419992,0.0062160008,0.0015860014,12.539018,12.539018,0.8096,--,817.6001,29.564,1610615104
2016-02-17,12:18:00.681Z,37.752033,-0.7516096,0.0018233932,0.0525,1.3058001,4.5999885e-05,0.0007680021,0.0019199997,0.0049280003,0.00096200034,32.050396,32.050396,2.1873999,--,--,30.219997,1610613056
2016-02-18,12:00:00.185Z,37.753906,-0.74929386,0.004784314,--,--,--,--,--,--,--,--,--,--,--,--,28.559998,1610613344
2016-02-19,13:18:00.966Z,37.751488,-0.75068223,0.0022796188,--,--,--,--,--,--,--,--,--,--,--,--,7.619999,1073742400
2016-02-20,13:00:00.477Z,37.749825,-0.75553364,0.0028527789,--,--,--,--,--,--,--,--,--,--,--,--,26.103996,1074790912
2016-02-21,12:42:01.767Z,37.753517,-0.7483227,0.005317335,--,--,--,--,--,--,--,--,--,--,--,--,15.529999,1073742400
2016-02-22,12:24:01.277Z,37.74703,-0.7519193,0.0037342666,--,--,--,--,--,--,--,--,--,--,--,--,30.399998,1073742336
2016-02-23,12:06:00.788Z,37.7553,-0.753242,0.004663033,--,--,--,--,--,--,--,--,--,--,--,--,31.056,1610613344
2016-02-24,13:24:01.572Z,37.74875,-0.75089335,0.0027002657,--,--,--,--,--,--,--,--,--,--,--,--,29.231998,1073742336
2016-02-25,13:06:01.085Z,37.752087,-0.7525412,0.0014545904,0.2223,0.7406,-0.0009359978,0.00066599995,0.0026280023,0.0066299997,0.0011919998,30.11873,30.11873,2.04,--,--,33.163998,1073742144
2016-02-26,12:48:00.598Z,37.75064,-0.7506311,0.0021737157,--,--,--,--,--,--,--,--,--,--,--,--,33.232,1073742400
2016-02-27,12:30:00.105Z,37.753387,-0.7502279,0.0037550193,--,--,--,--,--,--,--,--,--,--,--,--,5.8139954,1074790976
2016-02-28,12:12:01.389Z,37.752132,-0.7516272,0.0018883983,--,--,--,--,--,--,--,--,--,--,--,--,22.071999,1073742400
2016-02-29,11:54:00.895Z,37.747227,-0.7555096,0.0043677376,--,--,--,--,--,--,--,--,--,--,--,--,--,1342177569
2016-03-01,13:12:01.671Z,37.753536,-0.7547811,0.0034929926,0.0479,1.3144001,0.000814002,0.0021219999,0.0036980025,0.0073660016,0.0014940016,12.8365135,12.8365135,0.8286,--,733.0,34.862,1073744192
2016-03-02,12:54:01.175Z,37.75143,-0.7515699,0.0014575574,0.14459999,0.5041001,-0.00021800026,0.0010640025,0.0024340004,0.005562,0.0010080002,20.90245,20.90245,1.3692,--,--,35.43,1074790720
2016-03-03,12:36:00.676Z,37.748352,-0.75225866,0.0023679093,0.1046,0.5698,0.0007879995,0.0019240007,0.0033960007,0.0067219995,0.0013040006,12.577566,12.577566,0.812,--,736.7998,35.809998,1073744128
2016-03-04,12:18:00.177Z,37.7497,-0.7487431,0.0041729724,0.1576,0.13330007,0.0012880005,0.0021600015,0.0034020022,0.005988002,0.0017140023,8.465889,8.465889,0.5552,--,578.3999,36.346,1615333632
2016-03-05,12:00:01.452Z,37.744026,-0.7525365,0.0066353697,--,--,--,--,--,--,--,--,--,--,--,--,36.61,1610613280
2016-03-06,13:18:00.442Z,37.748814,-0.7467855,0.006294918,--,--,--,--,--,--,--,--,--,--,--,--,21.317997,1073742336
2016-03-07,13:00:01.722Z,37.753223,-0.7532519,0.0026059416,--,--,--,--,--,--,--,--,--,--,--,--,7.039997,1073742400
2016-03-08,12:42:01.217Z,37.75059,-0.7498194,0.0029860626,--,--,--,--,--,--,--,--,--,--,--,--,34.635998,1074790976
2016-03-09,12:24:00.708Z,37.746704,-0.7527526,0.0039523705,--,--,--,--,--,--,--,--,--,--,--,--,29.525997,1073742336
2016-03-10,12:06:00.205Z,37.752735,-0.749192,0.0041682483,--,--,--,--,--,--,--,--,--,--,--,--,35.635998,1073742432
2016-03-11,13:24:00.975Z,37.748104,-0.7566362,0.0046035694,0.045599997,1.7337,0.00023400038,0.0018440001,0.003572002,0.0073760003,0.001352001,14.550464,14.550464,0.9396,--,848.7998,38.601997,1073744128
2016-03-12,13:06:00.470Z,37.749786,-0.7556025,0.0029297986,0.060799997,1.3679,0.0027879998,0.0035340004,0.0046299994,0.008334,0.0016259998,9.125108,9.125108,0.5954,--,492.7998,39.164,1073744128
2016-03-13,12:48:01.745Z,37.749596,-0.7542356,0.0017810157,0.12109999,1.2567,0.0025660023,0.003258001,0.0042439997,0.0076059997,0.0014900006,8.992581,8.992581,0.58739996,--,486.7998,39.828,1073744128
2016-03-14,12:30:01.240Z,37.75283,-0.756212,0.0040419307,0.1617,1.2236,0.0029879995,0.0034000017,0.003882002,0.0064000003,0.00093400106,6.856363,6.856363,0.4578,--,388.3999,39.454,1073742144
2016-03-15,12:12:00.732Z,37.750042,-0.74985284,0.0030151338,--,--,--,--,--,--,--,--,--,--,--,--,22.306,1073742400
2016-03-16,11:54:00.204Z,37.75058,-0.74730635,0.0054989387,--,--,--,--,--,--,--,--,--,--,--,--,--,1342177633
2016-03-17,13:12:00.968Z,37.749146,-0.75303817,0.0015285464,0.0731,1.6823001,0.0016859993,0.002319999,0.0033980012,0.0065519996,0.0011200011,11.485008,11.485008,0.74259996,--,591.0,41.14,1073742080
2016-03-18,12:54:00.460Z,37.74918,-0.75352937,0.0016445336,--,--,--,--,--,--,--,--,--,--,--,--,30.761997,1073742336
2016-03-19,12:36:01.731Z,37.74656,-0.7531484,0.0041113696,--,--,--,--,--,--,--,--,--,--,--,--,33.378,1073742336
2016-03-20,12:18:01.224Z,37.74781,-0.7538625,0.0030359835,0.0738,1.2747,0.002138,0.0024960004,0.0031780005,0.005674001,0.0008860007,8.876922,8.876922,0.58019996,--,471.0,42.41,1610612992
2016-03-21,13:36:00.211Z,37.748512,-0.7559835,0.003834106,--,--,--,--,--,--,--,--,--,--,--,--,1.1559982,1073742336
2016-03-22,13:18:01.479Z,37.751026,-0.74858207,0.0042388723,--,--,--,--,--,--,--,--,--,--,--,--,27.599998,1073742400
2016-03-23,13:00:00.970Z,37.752014,-0.75477535,0.002393214,0.16679999,0.82580006,0.0010580011,0.0019060001,0.0031860024,0.006522,0.0012839995,14.117793,14.117793,0.91139996,--,720.6001,43.236,1074792768
2016-03-24,12:42:00.459Z,37.751465,-0.7498597,0.0030540845,0.19759999,0.88390005,-0.0008939989,0.0008320026,0.0031200014,0.0073920004,0.0017380007,23.861492,23.861492,1.5785999,--,--,43.764,1073744192
2016-03-25,12:24:01.729Z,37.75495,-0.74952704,0.0054030977,--,--,--,--,--,--,--,--,--,--,--,--,44.129997,1073742400
2016-03-26,12:06:01.219Z,37.75192,-0.75065047,0.0024970565,--,--,--,--,--,--,--,--,--,--,--,--,38.129997,1073742432
2016-03-27,13:24:00.201Z,37.750813,-0.7510474,0.0017643293,--,--,--,--,--,--,--,--,--,--,--,--,43.837997,1073742400
2016-03-28,13:06:01.469Z,37.750053,-0.7513733,0.0015531795,--,--,--,--,--,--,--,--,--,--,--,--,39.276,1073742400
2016-03-29,12:48:00.961Z,37.749966,-0.75018483,0.0027093776,0.2811,0.28509998,-0.0010319985,0.00042600185,0.0020860024,0.0056999996,0.0012519993,40.717346,40.717346,2.876,--,--,45.725998,1074792704
2016-03-30,12:30:00.448Z,37.753204,-0.7526793,0.0025513046,--,--,--,--,--,--,--,--,--,--,--,--,44.22,1073742400
2016-03-31,12:12:01.714Z,37.75002,-0.75691146,0.0041558184,--,--,--,--,--,--,--,--,--,--,--,--,42.087997,1073742400
2016-04-01,11:54:01.202Z,37.750717,-0.7513555,0.0014505121,--,--,--,--,--,--,--,--,--,--,--,--,46.692,1610613344
2016-04-02,13:12:00.184Z,37.750965,-0.7565114,0.0037194907,0.045199998,1.6205001,0.001952,0.0024759993,0.003357999,0.007054001,0.0016760007,15.454207,15.454207,0.99899995,--,597.1997,46.977997,1073744192
2016-04-03,12:54:01.454Z,37.750156,-0.7508205,0.0020461986,--,--,--,--,--,--,--,--,--,--,--,--,43.766,1074790976
2016-04-04,12:36:00.942Z,37.7514,-0.75352734,0.0010370481,--,--,--,--,--,--,--,--,--,--,--,--,36.178,1074790976
2016-04-05,12:18:00.427Z,37.749355,-0.75224286,0.001416981,--,--,--,--,--,--,--,--,--,--,--,--,--,1342177537
2016-04-06,13:36:01.178Z,37.75323,-0.74756014,0.0058426177,--,--,--,--,--,--,--,--,--,--,--,--,44.528,1073742400
2016-04-07,13:18:00.662Z,37.751896,-0.7550914,0.0026011379,--,--,--,--,--,--,--,--,--,--,--,--,48.601997,1073742400
2016-04-08,13:00:00.155Z,37.75232,-0.7530448,0.0016804386,--,--,--,--,--,--,--,--,--,--,--,--,33.626,1074790976
2016-04-09,12:42:01.425Z,37.751564,-0.7578031,0.0050801127,0.0903,0.92990005,0.0015220009,0.0023500025,0.003572002,0.0074240007,0.0021059997,14.9128895,14.9128895,0.96339995,--,665.1997,49.477997,1074792768
2016-04-10,12:24:00.913Z,37.74705,-0.74878204,0.0054016183,--,--,--,--,--,--,--,--,--,--,--,--,49.85,1074790912
2016-04-11,12:06:00.403Z,37.750866,-0.7505211,0.0022932505,--,--,--,--,--,--,--,--,--,--,--,--,--,1342177633
2016-04-12,13:24:01.167Z,37.74927,-0.75306296,0.0014086029,0.044299997,1.8278999,0.00036400184,0.001356002,0.0026740022,0.006508,0.0015019998,26.343645,26.343645,1.7586,--,--,50.21,1073744128
