date,time,lat,lon,dist,aot_862,angstrom,Rrs_410,Rrs_443,Rrs_486,Rrs_551,Rrs_671,chlor_a,chl_ocx,Kd_490,pic,poc,par,l2_flags
2016-01-01,12:00:00.747Z,37.690536,-0.7862214,0.0018957382,--,--,--,--,--,--,--,--,--,--,--,--,15.519997,1073742432
2016-01-02,13:18:01.567Z,37.689213,-0.78806955,0.0028636681,0.0932,0.59720004,-0.0006399974,0.00097000226,0.0027840026,0.0065320022,0.0016060024,22.987194,22.987194,1.5159999,--,--,18.915997,1073744192
2016-01-03,13:00:01.108Z,37.69138,-0.7847853,0.0024911128,--,--,--,--,--,--,--,--,--,--,--,--,16.423996,1073742400
2016-01-04,12:42:00.646Z,37.684563,-0.7870215,0.0047211586,--,--,--,--,--,--,--,--,--,--,--,--,4.3739967,1074790976
2016-01-05,12:24:00.186Z,37.6852,-0.78542256,0.003732449,--,--,--,--,--,--,--,--,--,--,--,--,--,1342177601
2016-01-06,12:06:01.506Z,37.693077,-0.7847813,0.004173536,--,--,--,--,--,--,--,--,--,--,--,--,7.833996,1073742432
2016-01-07,13:24:00.544Z,37.688213,-0.7854588,0.0007521932,--,--,--,--,--,--,--,--,--,--,--,--,18.564,1073742400
2016-01-08,13:06:00.086Z,37.687458,-0.78087485,0.0045868387,0.044,0.34440017,0.0004400015,0.0014360026,0.0027859993,0.0062140003,0.0015600026,19.169525,19.169525,1.2492,--,918.0,19.696,1073744192
2016-01-09,12:48:01.404Z,37.690044,-0.78911537,0.004052353,0.046099998,0.4388001,0.0014440008,0.0022960007,0.0033759996,0.0066299997,0.0019320026,12.231416,12.231416,0.78999996,--,605.1997,19.783997,1610615104
2016-01-10,12:30:00.939Z,37.686584,-0.7857999,0.0024128994,--,--,--,--,--,--,--,--,--,--,--,--,16.623997,1073742400
2016-01-11,12:12:00.477Z,37.687336,-0.7842552,0.0018605487,--,--,--,--,--,--,--,--,--,--,--,--,--,1342177601
2016-01-12,11:54:00.010Z,37.688484,-0.7816919,0.0035559374,--,--,--,--,--,--,--,--,--,--,--,--,20.311996,1610613344
2016-01-13,13:12:00.817Z,37.69246,-0.7846881,0.0035722596,--,--,--,--,--,--,--,--,--,--,--,--,20.429996,1073742400
2016-01-14,12:54:00.349Z,37.688114,-0.78767604,0.0025867566,--,--,--,--,--,--,--,--,--,--,--,--,18.078,1073742400
2016-01-15,12:36:01.663Z,37.685757,-0.7837919,0.00347693,--,--,--,--,--,--,--,--,--,--,--,--,2.2699966,1073742400
2016-01-16,12:18:01.199Z,37.69199,-0.78586435,0.0031301968,0.0356,0.42910004,0.00057800114,0.0017039999,0.0031419992,0.0064660013,0.0019959994,14.391015,14.391015,0.9292,--,801.6001,21.003998,1610615104
2016-01-17,12:00:00.733Z,37.68339,-0.7819353,0.006436489,--,--,--,--,--,--,--,--,--,--,--,--,--,1342177633
2016-01-18,13:18:01.537Z,37.68602,-0.78071094,0.005364979,0.044,1.1498001,-0.00019999966,0.0011899993,0.002948001,0.006996002,0.0018119998,23.970604,23.970604,1.5863999,--,--,21.307999,1073744192
2016-01-19,13:00:01.067Z,37.686222,-0.78313553,0.003414796,--,--,--,--,--,--,--,--,--,--,--,--,20.772,1073742400
2016-01-20,12:42:00.598Z,37.688927,-0.7808994,0.0043208003,--,--,--,--,--,--,--,--,--,--,--,--,21.571999,1073742400
2016-01-21,12:24:00.127Z,37.68512,-0.785166,0.0038074534,--,--,--,--,--,--,--,--,--,--,--,--,22.121998,1610613312
2016-01-22,12:06:01.431Z,37.69082,-0.7867329,0.0024224543,--,--,--,--,--,--,--,--,--,--,--,--,19.107998,1073742432
2016-01-23,13:24:00.451Z,37.68587,-0.786354,0.0032591447,--,--,--,--,--,--,--,--,--,--,--,--,19.275997,1073742400
2016-01-24,13:06:01.757Z,37.69041,-0.78105,0.004426331,0.0817,1.4579,0.0009660013,0.0016780011,0.0028220005,0.0064040013,0.0015299991,20.392145,20.392145,1.3335999,--,806.3999,22.587997,1073744192
2016-01-25,12:48:01.279Z,37.684753,-0.78699803,0.00453618,--,--,--,--,--,--,--,--,--,--,--,--,19.489998,1073742400
2016-01-26,12:30:00.798Z,37.68797,-0.7852458,0.0009578304,--,--,--,--,--,--,--,--,--,--,--,--,3.5139961,1073742400
2016-01-27,12:12:00.316Z,37.685806,-0.78732944,0.0037664154,--,--,--,--,--,--,--,--,--,--,--,--,21.547997,1610613312
2016-01-28,11:54:01.614Z,37.68852,-0.7880745,0.0028833249,--,--,--,--,--,--,--,--,--,--,--,--,--,1342177633
2016-01-29,13:12:00.630Z,37.692482,-0.7848213,0.0035776095,--,--,--,--,--,--,--,--,--,--,--,--,16.665997,1073742400
2016-01-30,12:54:00.150Z,37.688015,-0.78582835,0.0010959296,0.1493,1.0414001,0.0009060018,0.0018419996,0.003006,0.006140001,0.0013700016,14.025748,14.025748,0.9054,--,701.0,24.351997,1073744192
2016-01-31,12:36:01.453Z,37.691807,-0.78896767,0.0047263554,--,--,--,--,--,--,--,--,--,--,--,--,22.129997,1073742400
2016-02-01,12:18:00.977Z,37.68795,-0.788635,0.0035517039,0.0391,0.9934001,0.001418002,0.0020899996,0.0030000024,0.0055680014,0.001286,10.113704,10.113704,0.6566,--,554.6001,25.036,1610615104
2016-02-02,12:00:00.503Z,37.69158,-0.7853334,0.002657441,--,--,--,--,--,--,--,--,--,--,--,--,25.135998,1610613344
2016-02-03,13:18:01.309Z,37.685802,-0.7891115,0.0049902895,--,--,--,--,--,--,--,--,--,--,--,--,22.379997,1073742400
2016-02-04,13:00:00.839Z,37.689617,-0.7810982,0.004179447,--,--,--,--,--,--,--,--,--,--,--,--,6.093998,1073742400
