date,time,lat,lon,dist,aot_869,angstrom,Rrs_412,Rrs_443,Rrs_469,Rrs_488,Rrs_531,Rrs_547,Rrs_555,Rrs_645,Rrs_667,Rrs_678,chlor_a,chl_ocx,Kd_490,pic,poc,ipar,nflh,par,l2_flags
2021-09-17,12:50:01.886Z,37.74641,-0.7592904,0.007751774,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,46.368,1073742592
2021-09-18,13:35:01.318Z,37.75108,-0.75566894,0.0028953122,0.12879999,-0.15489984,0.0030840002,0.0027520023,0.0028260015,0.003109999,0.0041420013,0.0045800023,0.004117999,0.0020899996,0.0019979998,0.0020780005,5.6690044,5.6690044,0.3742,0.0016219988,338.3999,0.0015718,0.1863699,45.86,13109568
2021-09-19,12:40:00.718Z,37.75142,-0.74479663,0.0080443835,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,44.758,1611662144
2021-09-20,13:20:01.773Z,37.75221,-0.7533186,0.0016354063,0.1731,0.9079001,-0.00034999847,-0.00021199882,0.0001880005,0.0008120015,0.0021020025,0.0026900023,0.0023260005,0.00083399937,0.000914,0.001166001,--,--,--,--,--,0.0015342,0.45939004,45.089996,1080557892
2021-09-21,12:25:01.175Z,37.75925,-0.74489194,0.011682392,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,1073742082
2021-09-22,13:10:00.607Z,37.75418,-0.7575966,0.0059486097,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,27.581997,1074790992
2021-09-23,13:50:01.659Z,37.753513,-0.748455,0.005204241,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,41.858,1073742416
2021-09-24,12:55:01.056Z,37.748184,-0.7554164,0.0035959778,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,43.463997,1074791168
2021-09-25,13:40:01.964Z,37.754246,-0.74938256,0.0049595265,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,40.916,1073742416
2021-09-26,12:45:01.363Z,37.752846,-0.7603465,0.007853151,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,41.286,1073742656
2021-09-27,13:25:00.940Z,37.75199,-0.7575902,0.0049681826,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,41.112,1073742416
2021-09-28,12:30:01.821Z,37.744137,-0.75681484,0.0076539046,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,39.601997,1073742352
2021-09-29,13:15:01.252Z,37.753487,-0.7559805,0.0042540636,0.1397,1.6451,0.0025160015,0.0019780025,0.002452001,0.0030480027,0.0048939995,0.0057240017,0.0055100024,0.0021700002,0.0017920025,0.0018540025,13.207849,13.207849,0.88519996,--,605.3999,0.001425,0.29227996,41.834,1082132800
