date,time,lat,lon,dist,aot_862,angstrom,Rrs_410,Rrs_443,Rrs_486,Rrs_551,Rrs_671,chlor_a,chl_ocx,Kd_490,pic,poc,par,l2_flags
2016-01-01,12:00:00.747Z,37.76221,-0.7834302,0.0020266238,--,--,--,--,--,--,--,--,--,--,--,--,17.851997,1610613344
2016-01-02,13:18:01.567Z,37.765175,-0.78517205,0.001983899,0.072399996,0.9269,-0.001095999,0.00034400076,0.0016920008,0.004694,0.0008400008,43.141933,43.141933,3.0763998,--,--,18.835999,1073742144
2016-01-03,13:00:01.108Z,37.766575,-0.78444827,0.0034669915,--,--,--,--,--,--,--,--,--,--,--,--,16.483997,1073742400
2016-01-04,12:42:00.646Z,37.764294,-0.78535384,0.0011125925,--,--,--,--,--,--,--,--,--,--,--,--,5.381996,1074790976
2016-01-05,12:24:00.186Z,37.76302,-0.7884517,0.0032522713,0.0394,0.51320004,-0.0005099997,0.0007879995,0.0023000017,0.0052780025,0.001662001,21.239376,21.239376,1.3925999,--,--,19.331997,1610615104
2016-01-06,12:06:01.506Z,37.767868,-0.78111786,0.006210367,--,--,--,--,--,--,--,--,--,--,--,--,--,1342177633
2016-01-07,13:24:00.544Z,37.760746,-0.7855642,0.002471616,--,--,--,--,--,--,--,--,--,--,--,--,19.675999,1073742400
2016-01-08,13:06:00.086Z,37.759747,-0.78565705,0.0034743454,0.0411,0.76820004,3.8001686e-05,0.0013100021,0.0029460005,0.0065300018,0.0016960017,18.739927,18.739927,1.2198,--,--,19.635998,1073744192
2016-01-09,12:48:01.404Z,37.76332,-0.78802335,0.0028224005,0.047399998,0.7584001,0.0014040023,0.0025360025,0.0040500015,0.007812001,0.002278,11.5091915,11.5091915,0.7442,--,648.7998,19.733997,1610615104
2016-01-10,12:30:00.939Z,37.76044,-0.7882556,0.0041081845,--,--,--,--,--,--,--,--,--,--,--,--,3.6279984,1073742400
2016-01-11,12:12:00.477Z,37.75746,-0.7848,0.0057438966,--,--,--,--,--,--,--,--,--,--,--,--,18.671997,1610613312
2016-01-12,11:54:00.010Z,37.762386,-0.78385425,0.0015714713,0.037499998,0.39090014,0.000624001,0.0022640005,0.003630001,0.0066720024,0.002096001,9.770377,9.770377,0.6354,--,617.7998,20.244,1610615136
2016-01-13,13:12:00.817Z,37.76317,-0.78565276,0.0004494062,--,--,--,--,--,--,--,--,--,--,--,--,20.433998,1073742400
2016-01-14,12:54:00.349Z,37.763885,-0.78881866,0.003680794,--,--,--,--,--,--,--,--,--,--,--,--,20.631996,1073742400
2016-01-15,12:36:01.663Z,37.761345,-0.79031163,0.0054311585,--,--,--,--,--,--,--,--,--,--,--,--,6.4539986,1073742400
