date,time,lat,lon,dist,aot_862,angstrom,Rrs_410,Rrs_443,Rrs_486,Rrs_551,Rrs_671,chlor_a,chl_ocx,Kd_490,pic,poc,par,l2_flags
2016-01-01,12:00:00.747Z,37.667484,-0.8088988,0.0012080672,--,--,--,--,--,--,--,--,--,--,--,--,15.211998,1073742432
2016-01-02,13:18:01.567Z,37.663757,-0.80774754,0.0031353561,--,--,--,--,--,--,--,--,--,--,--,--,--,1073742082
2016-01-03,13:00:01.108Z,37.66771,-0.8061935,0.003494106,--,--,--,--,--,--,--,--,--,--,--,--,16.533997,1073742400
2016-01-04,12:42:00.646Z,37.666027,-0.8040298,0.005416435,--,--,--,--,--,--,--,--,--,--,--,--,5.463997,1074790976
2016-01-05,12:24:00.186Z,37.66626,-0.8102676,0.0008461413,--,--,--,--,--,--,--,--,--,--,--,--,18.919998,1610613312
2016-01-06,12:06:01.506Z,37.662144,-0.8114907,0.004728272,--,--,--,--,--,--,--,--,--,--,--,--,--,1073742370
2016-01-07,13:24:00.544Z,37.668907,-0.81113446,0.0030290456,--,--,--,--,--,--,--,--,--,--,--,--,18.578,1073742400
2016-01-08,13:06:00.086Z,37.66219,-0.81303346,0.005540485,--,--,--,--,--,--,--,--,--,--,--,--,--,1073742082
2016-01-09,12:48:01.404Z,37.66449,-0.8117934,0.003036834,--,--,--,--,--,--,--,--,--,--,--,--,--,1073742082
2016-01-10,12:30:00.939Z,37.66329,-0.8096498,0.0031203118,--,--,--,--,--,--,--,--,--,--,--,--,--,1073742338
2016-01-11,12:12:00.477Z,37.662964,-0.806191,0.0047250246,--,--,--,--,--,--,--,--,--,--,--,--,19.121998,1610613312
2016-01-12,11:54:00.010Z,37.66608,-0.8050747,0.0043704123,--,--,--,--,--,--,--,--,--,--,--,--,20.345997,1610613344
2016-01-13,13:12:00.817Z,37.66737,-0.8110148,0.0018546572,--,--,--,--,--,--,--,--,--,--,--,--,20.466,1073742400
2016-01-14,12:54:00.349Z,37.66494,-0.8112628,0.0023412553,--,--,--,--,--,--,--,--,--,--,--,--,17.075996,1073742400
2016-01-15,12:36:01.663Z,37.66519,-0.80372375,0.005836241,--,--,--,--,--,--,--,--,--,--,--,--,2.5479965,1073742400
2016-01-16,12:18:01.199Z,37.665264,-0.8068492,0.002823145,--,--,--,--,--,--,--,--,--,--,--,--,21.127998,1610613312
2016-01-17,12:00:00.733Z,37.663452,-0.81041473,0.0031077836,--,--,--,--,--,--,--,--,--,--,--,--,--,1073742114
2016-01-18,13:18:01.537Z,37.666904,-0.8133988,0.00399728,--,--,--,--,--,--,--,--,--,--,--,--,21.421997,1073742400
2016-01-19,13:00:01.067Z,37.669144,-0.8060841,0.0043289964,--,--,--,--,--,--,--,--,--,--,--,--,20.683998,1073742400
2016-01-20,12:42:00.598Z,37.66834,-0.80862427,0.0020999822,--,--,--,--,--,--,--,--,--,--,--,--,17.432,1073742400
2016-01-21,12:24:00.127Z,37.67049,-0.8056328,0.0055827154,--,--,--,--,--,--,--,--,--,--,--,--,21.969997,1610613312
2016-01-22,12:06:01.431Z,37.670513,-0.8128955,0.0053755865,--,--,--,--,--,--,--,--,--,--,--,--,--,1342177633
2016-01-23,13:24:00.451Z,37.666626,-0.8119522,0.002528868,--,--,--,--,--,--,--,--,--,--,--,--,20.057999,1073742400
2016-01-24,13:06:01.757Z,37.66518,-0.8131701,0.003931069,--,--,--,--,--,--,--,--,--,--,--,--,22.727997,1073742400
2016-01-25,12:48:01.279Z,37.665993,-0.81160617,0.0022108336,--,--,--,--,--,--,--,--,--,--,--,--,18.823997,1073742400
2016-01-26,12:30:00.798Z,37.661243,-0.8116693,0.0056212964,--,--,--,--,--,--,--,--,--,--,--,--,--,1073742338
2016-01-27,12:12:00.316Z,37.668274,-0.80888057,0.0019528822,--,--,--,--,--,--,--,--,--,--,--,--,21.383999,1610613312
2016-01-28,11:54:01.614Z,37.665966,-0.8115422,0.0021532434,--,--,--,--,--,--,--,--,--,--,--,--,--,1342177633
2016-01-29,13:12:00.630Z,37.66839,-0.8145491,0.005488247,--,--,--,--,--,--,--,--,--,--,--,--,14.485996,1073742400
