date,time,lat,lon,dist,aot_869,angstrom,Rrs_412,Rrs_443,Rrs_469,Rrs_488,Rrs_531,Rrs_547,Rrs_555,Rrs_645,Rrs_667,Rrs_678,chlor_a,chl_ocx,Kd_490,pic,poc,ipar,nflh,par,l2_flags
2021-09-17,12:50:01.886Z,37.72961,-0.78880054,0.005194984,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,46.376,1073742656
2021-09-18,13:35:01.318Z,37.725555,-0.787481,0.0022825894,0.0455,1.9702001,-0.00045999885,-0.00015600026,-2.199784e-05,0.0006179996,0.0015600026,0.0019880012,0.0021920018,0.0012539998,0.0010320023,0.0015660003,--,--,--,--,--,0.0015503,0.88116,45.836,1075839300
2021-09-19,12:40:00.718Z,37.72993,-0.7831314,0.008383196,0.122899994,1.0028,0.0017360002,0.0011759996,0.0009400025,0.0011759996,0.0016380027,0.0018579997,0.0020279996,0.0011020005,0.0009020008,0.0013740025,7.183273,7.183273,0.4682,2.9996037e-05,297.3999,0.0016709,0.80202496,45.594,546308416
2021-09-20,13:20:01.773Z,37.72223,-0.7917344,0.0031693447,0.0949,1.5808,-5.9977174e-06,-0.00023400038,0.00012400001,0.0006260015,0.0016520023,0.0021860003,0.002286002,0.0011940002,0.0010359995,0.0015540011,--,--,--,--,--,0.0015432,0.862885,45.08,1075839300
2021-09-21,12:25:01.175Z,37.734776,-0.7762002,0.016818307,0.0953,1.1214,0.0042620003,0.0022360012,0.0016699992,0.0020879991,0.0028360002,0.0032300018,0.0031860024,0.0014780015,0.001157999,0.0015660003,5.3170967,5.3170967,0.4362,0.00050199777,286.1997,0.0016789,0.73844504,44.738,545259776
2021-09-22,13:10:00.607Z,37.720917,-0.78963053,0.003546886,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,26.925999,1074790992
2021-09-23,13:50:01.659Z,37.73671,-0.78162354,0.014554145,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,42.519997,1073742416
2021-09-24,12:55:01.056Z,37.721485,-0.7910605,0.003367352,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,43.508,1074791232
2021-09-25,13:40:01.964Z,37.726166,-0.7899416,0.0017655301,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,41.786,1073742416
2021-09-26,12:45:01.363Z,37.72158,-0.7926609,0.0042881467,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,41.426,1073742656
2021-09-27,13:25:00.940Z,37.728077,-0.790879,0.0038761045,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,41.472,1073742656
2021-09-28,12:30:01.821Z,37.725483,-0.78735226,0.0023641214,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,39.762,1073742416
2021-09-29,13:15:01.252Z,37.721973,-0.78426456,0.00578166,0.12239999,1.7211001,0.0027120002,0.0020480007,0.0023720004,0.0027719997,0.004202001,0.004874002,0.0048560016,0.0023760013,0.0018340014,0.0019799992,10.430501,10.430501,0.68439996,--,491.3999,0.0014349,0.43193495,41.842,1082132800
2021-09-30,12:20:00.651Z,37.72432,-0.77712095,0.012363763,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,39.18,1610613536
2021-10-01,13:00:01.706Z,37.72037,-0.7932857,0.0055836085,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,26.517998,1073742416
2021-10-02,13:45:01.139Z,37.722137,-0.80111045,0.01185637,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,40.657997,1073742656
